time,gFx,gFy,gFz,TgF
22:10:37:928,0.9792,0.0203,0.1295,0.991
22:10:37:930,0.9655,0.0296,0.0926,0.973
22:10:37:932,0.9596,0.0340,0.0589,0.965
22:10:37:934,0.9506,0.0354,0.0286,0.954
22:10:37:936,0.9438,0.0374,0.0054,0.946
22:10:37:938,0.9460,0.0379,-0.0109,0.948
22:10:37:941,0.9533,0.0381,-0.0192,0.956
22:10:37:943,0.9655,0.0366,-0.0214,0.968
22:10:37:944,0.9750,0.0318,-0.0224,0.977
22:10:37:946,0.9784,0.0291,-0.0222,0.980
22:10:37:948,0.9868,0.0225,-0.0205,0.988
22:10:37:950,0.9936,0.0164,-0.0156,0.994
22:10:37:952,0.9946,0.0132,-0.0090,0.995
22:10:37:954,1.0002,0.0112,0.0035,1.001
22:10:37:956,1.0087,0.0066,0.0172,1.009
22:10:37:960,1.0073,-0.0015,0.0330,1.008
22:10:37:961,0.9970,-0.0110,0.0509,0.998
22:10:37:962,0.9899,-0.0198,0.0626,0.992
22:10:37:964,0.9926,-0.0269,0.0648,0.995
22:10:37:966,1.0019,-0.0318,0.0648,1.004
22:10:37:968,1.0153,-0.0364,0.0711,1.018
22:10:37:971,1.0310,-0.0420,0.0861,1.035
22:10:37:972,1.0439,-0.0474,0.1085,1.050
22:10:37:975,1.0517,-0.0493,0.1364,1.061
22:10:37:977,1.0578,-0.0498,0.1650,1.072
22:10:37:978,1.0620,-0.0498,0.1913,1.081
22:10:37:980,1.0649,-0.0479,0.2165,1.089
22:10:37:982,1.0679,-0.0435,0.2392,1.097
22:10:37:984,1.0730,-0.0369,0.2588,1.107
22:10:37:986,1.0781,-0.0308,0.2795,1.117
22:10:37:988,1.0847,-0.0254,0.3023,1.130
22:10:37:992,1.0947,-0.0208,0.3223,1.145
22:10:37:994,1.1035,-0.0147,0.3352,1.158
22:10:37:995,1.1092,-0.0073,0.3401,1.165
22:10:37:996,1.1123,-0.0015,0.3345,1.166
22:10:37:999,1.1131,0.0020,0.3228,1.164
22:10:38:001,1.1148,0.0042,0.3103,1.162
22:10:38:002,1.1145,0.0051,0.2979,1.158
22:10:38:004,1.0957,0.0027,0.2871,1.137
22:10:38:006,1.0674,-0.0017,0.2781,1.107
22:10:38:009,1.0469,-0.0049,0.2732,1.086
22:10:38:011,1.0249,-0.0076,0.2705,1.064
22:10:38:012,1.0063,-0.0100,0.2671,1.045
22:10:38:014,0.9912,-0.0144,0.2605,1.029
22:10:38:017,0.9772,-0.0195,0.2488,1.012
22:10:38:018,0.9657,-0.0242,0.2358,0.997
22:10:38:020,0.9577,-0.0286,0.2248,0.987
22:10:38:022,0.9569,-0.0298,0.2199,0.985
22:10:38:026,0.9677,-0.0283,0.2172,0.994
22:10:38:027,0.9601,-0.0254,0.2148,0.987
22:10:38:029,0.9252,-0.0215,0.2092,0.951
22:10:38:030,0.8981,-0.0147,0.2028,0.924
22:10:38:032,0.8888,-0.0093,0.1872,0.911
22:10:38:035,0.8822,-0.0042,0.1620,0.900
22:10:38:037,0.8785,0.0044,0.1396,0.892
22:10:38:038,0.8775,0.0159,0.1183,0.889
22:10:38:040,0.8873,0.0257,0.0948,0.896
22:10:38:046,0.9030,0.0335,0.0719,0.909
22:10:38:048,0.9154,0.0406,0.0545,0.921
22:10:38:049,0.9208,0.0469,0.0457,0.926
22:10:38:050,0.9235,0.0530,0.0433,0.929
22:10:38:051,0.9237,0.0586,0.0438,0.930
22:10:38:053,0.9208,0.0640,0.0460,0.928
22:10:38:054,0.9142,0.0696,0.0516,0.923
22:10:38:056,0.9247,0.0794,0.0689,0.936
22:10:38:069,0.9313,0.0828,0.0819,0.944
22:10:38:070,0.9205,0.0745,0.0775,0.932
22:10:38:071,0.9039,0.0672,0.0675,0.914
22:10:38:072,0.9047,0.0635,0.0624,0.913
22:10:38:073,0.9245,0.0581,0.0658,0.933
22:10:38:074,0.9418,0.0496,0.0655,0.949
22:10:38:076,0.9601,0.0413,0.0658,0.966
22:10:38:077,0.9819,0.0342,0.0665,0.987
22:10:38:078,1.0056,0.0276,0.0648,1.010
22:10:38:078,1.0285,0.0227,0.0606,1.032
22:10:38:079,1.0478,0.0195,0.0553,1.051
22:10:38:080,1.0598,0.0166,0.0494,1.062
22:10:38:083,1.0625,0.0161,0.0438,1.065
22:10:38:089,1.0662,0.0181,0.0406,1.068
22:10:38:090,1.0745,0.0261,0.0499,1.078
22:10:38:091,1.0640,0.0320,0.0631,1.068
22:10:38:092,1.0491,0.0322,0.0753,1.055
22:10:38:093,1.0341,0.0249,0.0741,1.039
22:10:38:096,1.0241,0.0166,0.0834,1.030
