time,gFx,gFy,gFz,TgF
21:41:38:835,0.6369,-0.0205,-0.6950,0.929
21:41:38:839,0.6364,-0.0188,-0.6943,0.928
21:41:38:839,0.6347,-0.0171,-0.6970,0.929
21:41:38:841,0.6298,-0.0147,-0.7011,0.928
21:41:38:843,0.6264,-0.0110,-0.7040,0.928
21:41:38:845,0.6244,-0.0083,-0.7048,0.928
21:41:38:847,0.6164,-0.0107,-0.7062,0.923
21:41:38:849,0.5900,-0.0349,-0.6948,0.897
21:41:38:853,0.5773,-0.0579,-0.6794,0.877
21:41:38:854,0.5861,-0.0599,-0.6767,0.880
21:41:38:858,0.5988,-0.0498,-0.6838,0.894
21:41:38:858,0.6100,-0.0406,-0.6965,0.911
21:41:38:860,0.6149,-0.0366,-0.7038,0.920
21:41:38:862,0.6244,-0.0296,-0.7189,0.938
21:41:38:864,0.6352,-0.0239,-0.7353,0.957
21:41:38:865,0.6479,-0.0159,-0.7544,0.980
21:41:38:867,0.6543,-0.0095,-0.7717,0.998
21:41:38:870,0.6596,-0.0051,-0.7820,1.009
21:41:38:872,0.6804,0.0117,-0.7976,1.035
21:41:38:873,0.6889,0.0222,-0.8128,1.053
21:41:38:875,0.6826,0.0200,-0.8230,1.056
21:41:38:878,0.6723,0.0103,-0.8269,1.052
21:41:38:880,0.6621,-0.0020,-0.8262,1.045
21:41:38:881,0.6506,-0.0139,-0.8230,1.034
21:41:38:883,0.6386,-0.0232,-0.8181,1.023
21:41:38:889,0.6298,-0.0310,-0.8101,1.011
21:41:38:890,0.6230,-0.0386,-0.8005,0.999
21:41:38:891,0.6161,-0.0464,-0.7903,0.987
21:41:38:892,0.6083,-0.0545,-0.7776,0.972
21:41:38:895,0.5978,-0.0625,-0.7727,0.962
21:41:38:896,0.5844,-0.0694,-0.7768,0.957
21:41:38:897,0.5758,-0.0755,-0.7761,0.951
21:41:38:899,0.5714,-0.0801,-0.7688,0.943
21:41:38:901,0.5646,-0.0840,-0.7627,0.934
21:41:38:904,0.5570,-0.0889,-0.7612,0.928
21:41:38:905,0.5465,-0.0960,-0.7619,0.923
21:41:38:907,0.5145,-0.1190,-0.7524,0.898
21:41:38:909,0.4898,-0.1439,-0.7407,0.877
21:41:38:911,0.4881,-0.1493,-0.7434,0.879
21:41:38:913,0.4989,-0.1439,-0.7505,0.890
21:41:38:915,0.5216,-0.1415,-0.7622,0.912
21:41:38:917,0.5448,-0.1412,-0.7793,0.939
21:41:38:920,0.5575,-0.1400,-0.7876,0.953
21:41:38:921,0.5658,-0.1356,-0.7825,0.954
21:41:38:924,0.5665,-0.1283,-0.7754,0.948
21:41:38:925,0.5468,-0.1258,-0.7764,0.937
21:41:38:928,0.5216,-0.1292,-0.7829,0.928
21:41:38:929,0.5104,-0.1309,-0.7866,0.925
21:41:38:931,0.4945,-0.1307,-0.7939,0.923
21:41:38:933,0.4955,-0.1266,-0.8003,0.928
21:41:38:935,0.5084,-0.1207,-0.8018,0.936
21:41:38:938,0.5223,-0.1116,-0.7983,0.940
21:41:38:941,0.5345,-0.0992,-0.7947,0.943
21:41:38:942,0.5431,-0.0865,-0.7905,0.944
21:41:38:943,0.5524,-0.0743,-0.7844,0.944
21:41:38:945,0.5585,-0.0633,-0.7783,0.942
21:41:38:947,0.5592,-0.0550,-0.7751,0.940
21:41:38:949,0.5560,-0.0493,-0.7724,0.936
21:41:38:950,0.5512,-0.0464,-0.7693,0.931
21:41:38:953,0.5450,-0.0479,-0.7671,0.925
21:41:38:955,0.5419,-0.0530,-0.7707,0.926
21:41:38:958,0.5363,-0.0581,-0.7776,0.929
21:41:38:962,0.5301,-0.0589,-0.7817,0.929
21:41:38:963,0.5292,-0.0557,-0.7822,0.928
21:41:38:964,0.5341,-0.0520,-0.7781,0.928
21:41:38:965,0.5404,-0.0506,-0.7702,0.925
21:41:38:967,0.5433,-0.0498,-0.7607,0.919
21:41:38:971,0.5438,-0.0493,-0.7492,0.910
21:41:38:973,0.5399,-0.0491,-0.7319,0.894
21:41:38:974,0.5397,-0.0515,-0.7075,0.874
21:41:38:976,0.5438,-0.0586,-0.6906,0.864
21:41:38:978,0.5389,-0.0667,-0.6799,0.852
21:41:38:979,0.5304,-0.0745,-0.6713,0.841
21:41:38:981,0.5226,-0.0850,-0.6613,0.828
21:41:38:983,0.5157,-0.0955,-0.6486,0.815
