time,gFx,gFy,gFz,TgF
21:50:09:221,0.9350,0.1187,0.3567,1.020
21:50:09:224,0.9325,0.1222,0.3616,1.020
21:50:09:225,0.9330,0.1251,0.3655,1.022
21:50:09:227,0.9367,0.1263,0.3709,1.028
21:50:09:229,0.9408,0.1280,0.3751,1.033
21:50:09:231,0.9467,0.1314,0.3768,1.040
21:50:09:233,0.9506,0.1366,0.3756,1.044
21:50:09:235,0.9523,0.1415,0.3724,1.045
21:50:09:237,0.9511,0.1456,0.3672,1.043
21:50:09:239,0.9518,0.1507,0.3589,1.042
21:50:09:241,0.9562,0.1586,0.3497,1.044
21:50:09:243,0.9596,0.1649,0.3360,1.043
21:50:09:245,0.9628,0.1698,0.3218,1.043
21:50:09:247,0.9633,0.1761,0.3079,1.040
21:50:09:249,0.9591,0.1845,0.2920,1.033
21:50:09:251,0.9530,0.1915,0.2749,1.024
21:50:09:253,0.9499,0.1945,0.2661,1.019
21:50:09:255,0.9450,0.1991,0.2483,1.011
21:50:09:258,0.9406,0.2003,0.2312,1.003
21:50:09:260,0.9357,0.2011,0.2150,0.995
21:50:09:261,0.9274,0.2016,0.2021,0.984
21:50:09:263,0.9289,0.2038,0.1869,0.983
21:50:09:265,0.9306,0.2074,0.1718,0.982
21:50:09:267,0.9257,0.2099,0.1569,0.975
21:50:09:269,0.9198,0.2108,0.1427,0.968
21:50:09:271,0.9139,0.2111,0.1305,0.960
21:50:09:276,0.9105,0.2106,0.1190,0.955
21:50:09:277,0.9096,0.2094,0.1075,0.952
21:50:09:278,0.9096,0.2069,0.0958,0.950
21:50:09:280,0.9098,0.2047,0.0861,0.949
21:50:09:282,0.9081,0.2040,0.0763,0.946
21:50:09:283,0.9044,0.2025,0.0685,0.941
21:50:09:286,0.9008,0.1996,0.0638,0.936
21:50:09:287,0.8990,0.1957,0.0619,0.934
21:50:09:290,0.8995,0.1923,0.0602,0.933
21:50:09:292,0.9017,0.1884,0.0589,0.934
21:50:09:293,0.9030,0.1823,0.0592,0.934
21:50:09:295,0.9027,0.1749,0.0619,0.932
21:50:09:297,0.9032,0.1683,0.0648,0.931
21:50:09:299,0.9078,0.1598,0.0692,0.934
21:50:09:301,0.9161,0.1488,0.0758,0.940
21:50:09:303,0.9230,0.1371,0.0824,0.945
21:50:09:305,0.9279,0.1248,0.0887,0.948
21:50:09:309,0.9313,0.1121,0.0956,0.950
21:50:09:310,0.9347,0.0994,0.1041,0.953
21:50:09:312,0.9396,0.0875,0.1127,0.957
21:50:09:313,0.9479,0.0762,0.1210,0.965
21:50:09:315,0.9579,0.0667,0.1288,0.974
21:50:09:317,0.9660,0.0608,0.1366,0.983
21:50:09:319,0.9760,0.0559,0.1442,0.993
21:50:09:321,0.9904,0.0503,0.1513,1.008
21:50:09:324,1.0026,0.0442,0.1567,1.020
21:50:09:325,1.0095,0.0396,0.1635,1.028
21:50:09:327,1.0107,0.0379,0.1672,1.030
21:50:09:329,1.0119,0.0364,0.1747,1.032
21:50:09:331,1.0117,0.0362,0.1840,1.034
21:50:09:333,1.0163,0.0362,0.1938,1.040
21:50:09:337,1.0290,0.0357,0.1979,1.053
21:50:09:338,1.0334,0.0386,0.1950,1.057
21:50:09:339,1.0276,0.0440,0.1913,1.051
21:50:09:343,1.0185,0.0523,0.1921,1.043
21:50:09:345,1.0100,0.0601,0.1948,1.036
21:50:09:345,0.9921,0.0586,0.1847,1.017
21:50:09:347,0.9569,0.0533,0.1650,0.978
21:50:09:349,0.9381,0.0552,0.1606,0.959
21:50:09:351,0.9462,0.0623,0.1755,0.971
21:50:09:353,0.9591,0.0667,0.1940,0.987
21:50:09:355,0.9611,0.0708,0.2097,0.993
21:50:09:357,0.9601,0.0748,0.2204,0.995
21:50:09:359,0.9591,0.0728,0.2246,0.995
21:50:09:361,0.9587,0.0662,0.2273,0.995
21:50:09:363,0.9672,0.0613,0.2238,1.001
21:50:09:365,0.9794,0.0599,0.2119,1.010
21:50:09:366,0.9880,0.0630,0.1975,1.016
21:50:09:369,0.9980,0.0672,0.1896,1.024
21:50:09:370,1.0058,0.0708,0.1847,1.031
21:50:09:374,1.0029,0.0767,0.1774,1.028
21:50:09:375,0.9982,0.0833,0.1708,1.023
21:50:09:377,1.0007,0.0870,0.1657,1.025
21:50:09:378,0.9975,0.0889,0.1542,1.020
21:50:09:381,0.9907,0.0889,0.1427,1.011
21:50:09:382,0.9814,0.0884,0.1325,1.001
21:50:09:385,0.9689,0.0889,0.1251,0.987
21:50:09:386,0.9596,0.0897,0.1244,0.978
21:50:09:389,0.9545,0.0884,0.1227,0.973
21:50:09:395,0.9526,0.0870,0.1190,0.970
21:50:09:396,0.9521,0.0870,0.1171,0.970
21:50:09:397,0.9501,0.0875,0.1122,0.967
21:50:09:398,0.9462,0.0887,0.1058,0.962
21:50:09:399,0.9435,0.0911,0.1002,0.959
21:50:09:402,0.9447,0.0928,0.0975,0.961
21:50:09:403,0.9484,0.0933,0.0980,0.964
21:50:09:405,0.9504,0.0941,0.1000,0.967
21:50:09:406,0.9496,0.0963,0.1002,0.966
21:50:09:414,0.9538,0.0982,0.1029,0.971
21:50:09:416,0.9609,0.0999,0.1085,0.979
21:50:09:417,0.9631,0.1026,0.1122,0.982
21:50:09:418,0.9657,0.1053,0.1122,0.985
21:50:09:419,0.9704,0.1085,0.1119,0.990
21:50:09:420,0.9728,0.1141,0.1110,0.993
21:50:09:420,0.9714,0.1219,0.1068,0.992
21:50:09:424,0.9721,0.1295,0.1034,0.994
21:50:09:426,0.9753,0.1331,0.1054,0.998
21:50:09:427,0.9789,0.1346,0.1085,1.002
21:50:09:429,0.9792,0.1358,0.1073,1.003
