time,gFx,gFy,gFz,TgF
21:13:02:153,0.9030,0.1121,-0.3801,0.984
21:13:02:155,0.9020,0.1136,-0.3816,0.984
21:13:02:157,0.9022,0.1156,-0.3835,0.986
21:13:02:159,0.9042,0.1153,-0.3825,0.987
21:13:02:160,0.9059,0.1143,-0.3764,0.986
21:13:02:161,0.9081,0.1134,-0.3671,0.985
21:13:02:163,0.9093,0.1119,-0.3566,0.982
21:13:02:165,0.9091,0.1092,-0.3469,0.978
21:13:02:167,0.9064,0.1075,-0.3403,0.973
21:13:02:170,0.9037,0.1065,-0.3359,0.969
21:13:02:172,0.9034,0.1070,-0.3307,0.967
21:13:02:173,0.9042,0.1075,-0.3251,0.966
21:13:02:175,0.9044,0.1073,-0.3173,0.964
21:13:02:177,0.9049,0.1065,-0.3087,0.961
21:13:02:179,0.9056,0.1085,-0.3007,0.960
21:13:02:181,0.9078,0.1104,-0.2914,0.960
21:13:02:183,0.9098,0.1126,-0.2807,0.959
21:13:02:186,0.9113,0.1148,-0.2699,0.958
21:13:02:188,0.9118,0.1165,-0.2611,0.956
21:13:02:189,0.9139,0.1178,-0.2565,0.957
21:13:02:192,0.9181,0.1185,-0.2562,0.961
21:13:02:194,0.9215,0.1195,-0.2611,0.966
21:13:02:196,0.9198,0.1229,-0.2706,0.968
21:13:02:198,0.9227,0.1253,-0.2838,0.974
21:13:02:199,0.9330,0.1239,-0.2980,0.988
21:13:02:206,0.9433,0.1187,-0.3114,1.000
21:13:02:208,0.9526,0.1121,-0.3246,1.012
21:13:02:209,0.9613,0.1053,-0.3366,1.023
21:13:02:211,0.9675,0.0992,-0.3452,1.030
21:13:02:212,0.9689,0.0948,-0.3488,1.032
21:13:02:213,0.9684,0.0906,-0.3466,1.030
21:13:02:215,0.9677,0.0872,-0.3400,1.027
21:13:02:216,0.9653,0.0845,-0.3339,1.023
21:13:02:217,0.9611,0.0836,-0.3312,1.018
21:13:02:219,0.9577,0.0838,-0.3310,1.015
21:13:02:221,0.9560,0.0843,-0.3315,1.013
21:13:02:223,0.9504,0.0845,-0.3327,1.008
21:13:02:225,0.9418,0.0853,-0.3322,1.000
21:13:02:227,0.9264,0.0882,-0.3312,0.986
21:13:02:229,0.9054,0.0950,-0.3310,0.967
21:13:02:231,0.8942,0.1009,-0.3320,0.958
21:13:02:233,0.8844,0.1011,-0.3386,0.951
21:13:02:235,0.8719,0.0972,-0.3456,0.941
21:13:02:237,0.8719,0.0911,-0.3452,0.940
21:13:02:239,0.8795,0.0848,-0.3373,0.943
21:13:02:241,0.8871,0.0792,-0.3310,0.948
21:13:02:243,0.8915,0.0740,-0.3251,0.949
21:13:02:245,0.8942,0.0691,-0.3193,0.949
21:13:02:247,0.8939,0.0645,-0.3117,0.946
21:13:02:249,0.8951,0.0621,-0.3019,0.944
21:13:02:251,0.9025,0.0618,-0.2921,0.948
21:13:02:254,0.9110,0.0618,-0.2841,0.954
21:13:02:256,0.9186,0.0633,-0.2780,0.960
21:13:02:257,0.9225,0.0645,-0.2726,0.962
21:13:02:259,0.9247,0.0662,-0.2692,0.963
21:13:02:261,0.9264,0.0706,-0.2679,0.965
21:13:02:263,0.9289,0.0755,-0.2694,0.969
21:13:02:265,0.9293,0.0814,-0.2728,0.971
21:13:02:267,0.9271,0.0872,-0.2753,0.970
21:13:02:269,0.9237,0.0933,-0.2780,0.968
21:13:02:272,0.9215,0.0999,-0.2829,0.969
21:13:02:273,0.9191,0.1070,-0.2892,0.969
21:13:02:275,0.9176,0.1134,-0.2946,0.970
21:13:02:277,0.9161,0.1182,-0.2995,0.971
21:13:02:280,0.9149,0.1229,-0.3024,0.972
21:13:02:281,0.9132,0.1266,-0.3046,0.971
21:13:02:283,0.9113,0.1305,-0.3058,0.971
21:13:02:287,0.9105,0.1331,-0.3058,0.970
21:13:02:289,0.9115,0.1346,-0.3053,0.971
21:13:02:290,0.9120,0.1353,-0.3044,0.972
21:13:02:292,0.9120,0.1361,-0.3029,0.972
21:13:02:293,0.9130,0.1368,-0.3024,0.972
21:13:02:295,0.9159,0.1373,-0.3009,0.975
21:13:02:297,0.9171,0.1371,-0.2990,0.975
21:13:02:299,0.9188,0.1368,-0.2970,0.976
21:13:02:301,0.9223,0.1368,-0.2960,0.979
21:13:02:306,0.9262,0.1371,-0.2973,0.983
21:13:02:308,0.9308,0.1366,-0.2990,0.988
21:13:02:310,0.9342,0.1356,-0.3004,0.992
21:13:02:310,0.9374,0.1344,-0.3019,0.995
21:13:02:313,0.9438,0.1329,-0.3061,1.002
21:13:02:314,0.9567,0.1312,-0.3171,1.017
21:13:02:315,0.9640,0.1287,-0.3246,1.025
21:13:02:317,0.9609,0.1275,-0.3254,1.022
21:13:02:329,0.9565,0.1268,-0.3249,1.018
