time,gFx,gFy,gFz,TgF
21:31:46:013,0.9164,0.1510,-0.2284,0.960
21:31:46:015,0.9347,0.1495,-0.2533,0.982
21:31:46:017,0.9494,0.1505,-0.2633,0.999
21:31:46:019,0.9530,0.1576,-0.2511,1.001
21:31:46:021,0.9518,0.1669,-0.2345,0.998
21:31:46:024,0.9530,0.1761,-0.2259,0.999
21:31:46:026,0.9491,0.1835,-0.2132,0.995
21:31:46:027,0.9545,0.1879,-0.2025,0.999
21:31:46:030,0.9670,0.1913,-0.1954,1.010
21:31:46:031,0.9753,0.1954,-0.1971,1.020
21:31:46:033,0.9758,0.1976,-0.2008,1.021
21:31:46:035,0.9704,0.1989,-0.1876,1.014
21:31:46:038,0.9613,0.1991,-0.1556,1.001
21:31:46:039,0.9552,0.1957,-0.1172,0.989
21:31:46:042,0.9601,0.1842,-0.0864,0.989
21:31:46:044,0.9692,0.1688,-0.0632,0.993
21:31:46:045,0.9755,0.1517,-0.0473,0.995
21:31:46:053,0.9731,0.1339,-0.0285,0.988
21:31:46:054,0.9613,0.1168,-0.0031,0.974
21:31:46:055,0.9479,0.1031,0.0264,0.959
21:31:46:057,0.9433,0.0933,0.0570,0.955
21:31:46:058,0.9455,0.0911,0.0821,0.959
21:31:46:059,0.9435,0.0955,0.0980,0.960
21:31:46:061,0.9357,0.1033,0.1102,0.955
21:31:46:063,0.9252,0.1082,0.1102,0.946
21:31:46:064,0.9096,0.1085,0.0973,0.929
21:31:46:065,0.8773,0.1009,0.0819,0.894
21:31:46:067,0.8485,0.0887,0.0694,0.862
21:31:46:070,0.8402,0.0787,0.0619,0.852
21:31:46:071,0.8277,0.0770,0.0602,0.839
21:31:46:077,0.8079,0.0894,0.0496,0.821
21:31:46:079,0.8211,0.0963,0.0330,0.834
21:31:46:080,0.8548,0.0914,0.0294,0.866
21:31:46:081,0.8495,0.0882,0.0518,0.862
21:31:46:082,0.8382,0.0904,0.0604,0.852
21:31:46:083,0.8441,0.0943,0.0506,0.857
21:31:46:086,0.8893,0.0875,0.0235,0.899
